21_JUMP_STREET.srt 	21_JUMP_STREET_DVS34 	00:03:53,00 --> 00:03:58,50 	in another class someone gets an f on a test.
MORNING_GLORY.srt 	MORNING_GLORY_DVS261 	00:59:24,00 --> 00:59:29,50 	he's getting his shoes shined.
MORNING_GLORY.srt 	MORNING_GLORY_DVS349 	01:16:16,00 --> 01:16:24,50 	in the studio, someone is getting a tattoo on his ass.
MORNING_GLORY.srt 	MORNING_GLORY_DVS380 	01:23:02,00 --> 01:23:06,50 	she gets in the back.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS59 	00:09:40,00 --> 00:09:43,50 	someone gets up.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS389 	00:47:05,00 --> 00:47:12,50 	she gets in an suv and shuts the door.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS629 	01:16:21,00 --> 01:16:28,50 	captain gets her webbed foot twisted in a kite string dangling from a high shelf.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS14 	00:03:52,00 --> 00:04:01,50 	dirty water gets launched from a barn doorway.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS149 	00:33:54,00 --> 00:34:00,50 	outside, someone gets stuck up to his chest.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS472 	01:36:40,00 --> 01:36:44,50 	someone's got a medal too.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS60 	00:07:05,00 --> 00:07:11,50 	he gets in the driving seat and someone leans by the door.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS155 	00:25:25,00 --> 00:25:31,50 	later they get dressed and someone hand someone his top.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS158 	00:25:58,00 --> 00:26:06,50 	at an outside restaurant someone checks messages on his iphone, someone gets up.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS194 	00:34:19,00 --> 00:34:25,50 	she gets in her car.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS269 	00:48:54,00 --> 00:49:01,50 	someone gets out of a black car at the hospital christmas party at the plush w hotel.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS374 	01:08:44,00 --> 01:08:48,50 	someone gets an extra straw.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS481 	01:28:10,00 --> 01:28:16,50 	someone gets in the car.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS535 	01:39:48,00 --> 01:39:52,50 	they get out of the car.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS116 	00:30:37,00 --> 00:30:42,50 	getting a snack, someone freezes.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS123 	00:31:34,00 --> 00:31:41,50 	as he gets to his feet someone smiles proudly.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS202 	00:50:47,00 --> 00:50:52,50 	he gets to his feet and lumbers to the door.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	as the beast charges, someone gets up and dodges.
PROMETHEUS.srt 	PROMETHEUS_DVS201 	00:14:10,00 --> 00:14:18,50 	in flight suits and hoodies, someone, holloway, and rag-tag crew members get food and beverages.
PROMETHEUS.srt 	PROMETHEUS_DVS262 	00:25:11,00 --> 00:25:14,50 	he gets up.
PROMETHEUS.srt 	PROMETHEUS_DVS416 	00:42:10,00 --> 00:42:15,50 	someone and someone get in one.
PROMETHEUS.srt 	PROMETHEUS_DVS546 	01:00:54,00 --> 01:00:59,50 	she pauses as he gets to his feet.
PROMETHEUS.srt 	PROMETHEUS_DVS750 	01:21:08,00 --> 01:21:14,50 	as she gets down from the table, she falls briefly, clutching her abdomen.
PROMETHEUS.srt 	PROMETHEUS_DVS951 	01:45:29,00 --> 01:45:33,50 	someone gets in the escape pod
PROMETHEUS.srt 	PROMETHEUS_DVS990 	01:48:50,00 --> 01:48:57,50 	she swings her legs over, pushes herself up on all fours and gets to her feet.
PROMETHEUS.srt 	PROMETHEUS_DVS1060 	01:56:08,00 --> 01:56:15,50 	wincing painfully she gets to her feet and hauls the bag up.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS100 	00:16:28,00 --> 00:16:32,50 	they get in and drive.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS173 	00:32:32,00 --> 00:32:36,50 	he gets someone's coat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS179 	00:33:43,00 --> 00:34:01,50 	he gets a couple of glasses from a counter, then saunters off with two women.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS223 	00:41:22,00 --> 00:41:27,50 	as the two criminals get into the parked car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS441 	01:24:57,00 --> 01:25:02,50 	the workmen get into a car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS480 	01:30:57,00 --> 01:31:10,50 	baby face tosses someone's someone gun onto the front seat and gets behind the wheel.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS543 	01:42:18,00 --> 01:42:26,50 	someone glares into his side view mirror, then gets out of the car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS547 	01:42:39,00 --> 01:42:52,50 	burly agent pushes someone into the backseat and gets in next to her.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS579 	01:47:49,00 --> 01:47:57,50 	someone presses down on the arms of the chair to get up, then stops.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS594 	01:51:33,00 --> 01:51:40,50 	gets out of the car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS636 	01:59:46,00 --> 01:59:52,50 	he gets out of the car and paces down the sidewalk.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS676 	02:07:00,00 --> 02:07:07,50 	someone gets to his feet, his sober gaze locked on the dead man.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS56 	00:15:49,00 --> 00:15:58,50 	they kneel again as someone and his opponent get to their feet.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS235 	00:54:22,00 --> 00:54:26,50 	someone gets to her feet.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS258 	00:59:51,00 --> 01:00:06,50 	wearily gets up and unlaces the back of his long tunic.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS36 	00:04:49,00 --> 00:04:54,50 	the gray-bearded therapist gets up.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS69 	00:12:16,00 --> 00:12:21,50 	someone closes his book and gets up.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS279 	00:43:14,00 --> 00:43:19,50 	they get in someone's silver sedan.
SALT.srt 	SALT_DVS207 	00:35:35,00 --> 00:35:39,50 	and two officers get out.
SALT.srt 	SALT_DVS209 	00:35:51,00 --> 00:35:56,50 	pulls herself up to a stable position then crouches and gets her bearing.
SALT.srt 	SALT_DVS226 	00:38:40,00 --> 00:38:45,50 	someone gets a text.
SALT.srt 	SALT_DVS260 	00:45:51,00 --> 00:46:03,50 	he narrows his eyes, trying to get a better look but she slips out of view.
SALT.srt 	SALT_DVS513 	01:27:53,00 --> 01:27:57,50 	she get shot
SALT.srt 	SALT_DVS516 	01:28:41,00 --> 01:28:47,50 	as someone gets led past, she jerks her chin up at someone.
SANCTUM.srt 	SANCTUM_DVS22 	00:05:26,00 --> 00:05:40,50 	he gets up and moves a large backpack.
SANCTUM.srt 	SANCTUM_DVS28 	00:06:39,00 --> 00:06:44,50 	she gets a reading on a handheld device.
SANCTUM.srt 	SANCTUM_DVS349 	01:09:45,00 --> 01:09:53,50 	down at the churning pool, gets a hold on the wall, and leans out far under a light waterfall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS61 	00:04:33,00 --> 00:04:37,50 	someone gets up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS229 	00:15:57,00 --> 00:16:05,50 	one of someone's bound feet gets out below her blanket, its bandage is stained with blood.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS785 	00:52:40,00 --> 00:52:45,50 	a palanquin gets carried across the far bank.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS867 	00:57:31,00 --> 00:57:38,50 	she peers down toward the lower floor, then shifts her puzzled gaze and gets up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS954 	01:01:51,00 --> 01:01:58,50 	as he gets to his feet, his son's head rolls back limply and one arm dangles from his grasp.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS157 	00:31:03,00 --> 00:31:10,50 	the man  got shot through his windshield.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS449 	01:35:27,00 --> 01:35:32,50 	she become alive as the last of it gets absorbed.
SPARKLE_2012.srt 	SPARKLE_2012_DVS129 	00:21:17,00 --> 00:21:22,50 	she gets to her feet.
SPARKLE_2012.srt 	SPARKLE_2012_DVS190 	00:31:08,00 --> 00:31:17,50 	later the sisters get in a white sedan.
SPARKLE_2012.srt 	SPARKLE_2012_DVS341 	00:55:31,00 --> 00:55:38,50 	now in a dressing room, the girls get ready as sister arrives.
SPARKLE_2012.srt 	SPARKLE_2012_DVS408 	01:08:52,00 --> 01:08:58,50 	she flexes one long stocking clad leg and gets up.
SPARKLE_2012.srt 	SPARKLE_2012_DVS425 	01:10:47,00 --> 01:10:57,50 	he gets into a sleek silver sports car, parked under the baker's flashing marquee.
SPARKLE_2012.srt 	SPARKLE_2012_DVS477 	01:18:03,00 --> 01:18:08,50 	sister gets up and lunges at him.
SPARKLE_2012.srt 	SPARKLE_2012_DVS487 	01:18:48,00 --> 01:18:55,50 	then gets up and goes to her side.
SPARKLE_2012.srt 	SPARKLE_2012_DVS523 	01:26:52,00 --> 01:26:57,50 	she gets in the backseat and closes the door.
SUPER_8.srt 	SUPER_8_DVS226 	00:38:25,00 --> 00:38:32,50 	someone trips as lurches away, he gets to his feet and scrambles back inside the gas station.
SUPER_8.srt 	SUPER_8_DVS614 	01:39:59,00 --> 01:40:05,50 	someone watches as someone gets out and peers up at the forming ship.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS690 	01:32:35,00 --> 01:32:41,50 	someone gets to his feet and charges, but someone throws a fishing net over him.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS33 	00:06:47,00 --> 00:07:07,50 	someone averts his gaze from hers as he gets milk from the fridge.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS290 	00:56:42,00 --> 00:56:49,50 	as someone gets back up his stepfather restrains him from behind.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS346 	01:08:22,00 --> 01:08:28,50 	he gets a text from someone, i need to see you.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS379 	01:13:20,00 --> 01:13:29,50 	someone and someone get out.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS28 	00:03:59,00 --> 00:04:04,50 	someone gingerly gets to his feet.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS105 	00:21:03,00 --> 00:21:14,50 	as he gets into his car, someone creeps outside and scurries over to a red mini cooper.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS136 	00:27:14,00 --> 00:27:20,50 	someone gets out, steps in her path, and draws a gun.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS218 	00:43:54,00 --> 00:44:03,50 	he flops onto his back fully dressed and in his shoes and scooches around getting comfy.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS317 	00:57:59,00 --> 00:58:04,50 	he gets out and surveys the damage.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS319 	00:58:10,00 --> 00:58:16,50 	his assailant gets to his feet, using the pick-up as cover.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS324 	00:58:39,00 --> 00:58:46,50 	on the one way street, the thug yanks a woman from her mini-van, gets in, and speeds off.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS487 	01:27:56,00 --> 01:28:01,50 	they get in someone's car.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS574 	01:43:51,00 --> 01:43:55,50 	someone gets out.
THE_CALL.srt 	THE_CALL_DVS158 	00:13:02,00 --> 00:13:07,50 	she slowly gets out of bed.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS141 	00:24:19,00 --> 00:24:23,50 	someone gets in the pool.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS247 	00:38:33,00 --> 00:38:38,50 	someone and someone respectfully get to their feet.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS522 	01:16:47,00 --> 01:16:51,50 	someone gets up.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS552 	01:20:53,00 --> 01:20:58,50 	behind someone, indoors, someone gets drinks.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS580 	01:26:44,00 --> 01:26:52,50 	as she stirs a little, getting comfortable, the image dissolves to a corridor in the hospital.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS124 	00:12:51,00 --> 00:12:56,50 	she lifts her head then gets up.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS212 	00:26:03,00 --> 00:26:07,50 	the driver gets back in his taxi.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS701 	01:17:30,00 --> 01:17:35,50 	the exotic beauty gets out of bed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS790 	01:30:40,00 --> 01:30:45,50 	getting into a car with a young man.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1019 	01:49:57,00 --> 01:50:06,50 	at vanger industries someone gets on the elevator, stretches her neck and shoulders and zips up her hoodie.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1045 	01:51:39,00 --> 01:51:44,50 	someone gets out and gazes toward the cottage.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1156 	02:02:17,00 --> 02:02:22,50 	someone gets up scratching his hand.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1267 	02:13:22,00 --> 02:13:28,50 	someone returns to the vehicle and gets behind the wheel.
THE_SITTER.srt 	THE_SITTER_DVS38 	00:22:05,00 --> 00:22:09,50 	he gets off the van and then heads to an alley way.
THE_SITTER.srt 	THE_SITTER_DVS87 	00:48:19,00 --> 00:48:22,50 	the boy gets up.
THE_SITTER.srt 	THE_SITTER_DVS90 	00:48:38,00 --> 00:48:43,50 	they get back in the mercedes and peel out.
THE_SITTER.srt 	THE_SITTER_DVS145 	01:14:32,00 --> 01:14:37,50 	he gets in his face as he heads out the door.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS64 	00:16:51,00 --> 00:17:03,50 	the blonde attorney and someone beside her both get up.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS165 	01:00:32,00 --> 01:00:36,50 	the twins get up, fix their coats.
THE_VOW.srt 	THE_VOW_DVS212 	00:27:09,00 --> 00:27:16,50 	at night, someone shuts her door for her as she gets out of his 80s era wagoneer.
THE_VOW.srt 	THE_VOW_DVS263 	00:33:05,00 --> 00:33:11,50 	as someone gets the coffee pot his wife bites into a strip of bacon.
THE_VOW.srt 	THE_VOW_DVS642 	01:29:09,00 --> 01:29:17,50 	she awkwardly gets to her feet.
THE_WATCH.srt 	THE_WATCH_DVS190 	00:34:33,00 --> 00:34:40,50 	on the isolated country road, the four friends get out and peer closely at the car's grille.
THE_WATCH.srt 	THE_WATCH_DVS219 	00:41:46,00 --> 00:41:52,50 	he cuts his headlights, gets out, and lumbers wearily to the front.
THE_WATCH.srt 	THE_WATCH_DVS300 	00:53:52,00 --> 00:53:58,50 	someone and someone tumble over a sofa to get away, then split up.
THE_WATCH.srt 	THE_WATCH_DVS308 	00:54:30,00 --> 00:54:37,50 	someone gets up as it leans a mouthful of sharp teeth close to the youth.
THE_WATCH.srt 	THE_WATCH_DVS492 	01:27:51,00 --> 01:27:57,50 	another gets shot in the groin.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS24 	00:05:02,00 --> 00:05:10,50 	cooking in her kitchen, someone gets a text: mind if i hang with the guys?
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS97 	00:29:28,00 --> 00:29:33,50 	with a little smile, she gets in behind the wheel.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS111 	00:31:48,00 --> 00:31:58,50 	someone tries for a three-pointer, but it bounces off the rim and someone gets the rebound.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS239 	00:59:37,00 --> 00:59:43,50 	he gets out two condoms and looks at their different wrappings,
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS336 	01:23:55,00 --> 01:24:00,50 	with a disappointed look, she gets up.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS207 	00:40:00,00 --> 00:40:07,50 	getting to his feet, someone peers at her bookshelf and notices models of vintage sports cars.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS244 	00:44:16,00 --> 00:44:22,50 	someone gets a text from someone reading, mission alert.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS326 	00:59:25,00 --> 00:59:32,50 	as they both try to exit at the same time, they get log-jammed.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS339 	01:01:09,00 --> 01:01:15,50 	they get in one of two black chevy suburbans waiting at a curb.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS472 	01:23:26,00 --> 01:23:46,50 	the suv gets thrown upside down.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS58 	00:07:33,00 --> 00:07:38,50 	the guys stare and he gets up.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS96 	00:11:03,00 --> 00:11:08,50 	he stumbles back on the bed, then gets up.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS218 	00:28:15,00 --> 00:28:20,50 	someone gets whipped cream and strawberries from the fridge.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS410 	00:44:26,00 --> 00:44:31,50 	as someone gets out with a scowl,
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS550 	01:00:41,00 --> 01:00:46,50 	without warning, someone gets thrown backward.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS635 	01:09:59,00 --> 01:10:03,50 	someone gets out with his duffel.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS642 	01:11:14,00 --> 01:11:20,50 	she tugs open her car door and gets behind the wheel.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS675 	01:15:32,00 --> 01:15:38,50 	their teammates on the bench jeer at someone as he gets to his feet.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS731 	01:20:34,00 --> 01:20:39,50 	someone's teammates and fans get to their feet.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS897 	01:34:42,00 --> 01:34:48,50 	the boy nods and someone mouths "getting married."
TRUE_GRIT.srt 	TRUE_GRIT_DVS157 	00:36:30,00 --> 00:36:37,50 	someone gets down from his horse and marches over to someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS162 	00:36:51,00 --> 00:36:55,50 	he gets a stick.
TRUE_GRIT.srt 	TRUE_GRIT_DVS284 	01:00:14,00 --> 01:00:19,50 	he gets comfy.
TRUE_GRIT.srt 	TRUE_GRIT_DVS302 	01:03:41,00 --> 01:03:47,50 	someone gets dragged around in the dirt.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS313 	00:33:03,00 --> 00:33:09,50 	someone tries to get someone's attention, but she waves him off.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS327 	00:35:59,00 --> 00:36:03,50 	someone gets up.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS500 	01:04:18,00 --> 01:04:22,50 	she gets out.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS253 	00:41:22,00 --> 00:41:30,50 	as he gets out with a grocery bag, someone passes by.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS423 	01:07:11,00 --> 01:07:14,50 	she gets up.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS501 	01:17:39,00 --> 01:17:44,50 	spar gets to his feet.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS53 	00:03:57,00 --> 00:04:07,50 	getting a newspaper, he notices the blonde and smiles.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS56 	00:04:38,00 --> 00:04:46,50 	she pauses to get her bearings, then hustles across the street, chomping down a hot dog as she goes.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS233 	00:30:03,00 --> 00:30:07,50 	now, they get sandwiches to go.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS256 	00:35:15,00 --> 00:35:21,50 	she gets up, revealing a tiny t-shirt and boy-cut panties.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS673 	01:33:50,00 --> 01:33:56,50 	getting back up, she tears some gauzy fabric from her pink dress.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS706 	01:35:35,00 --> 01:35:41,50 	the hatchback arrives and gets stuck behind traffic.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS728 	01:37:02,00 --> 01:37:07,50 	halfway over the fence, her dress gets caught.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS757 	01:41:18,00 --> 01:41:24,50 	someone gets up and jumps on the bed.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS422 	00:36:22,00 --> 00:36:28,50 	someone, someone, the man in black, someone, and someone get out.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS122 	00:22:13,00 --> 00:22:18,50 	someone gets into the back of a taxi cab.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS163 	00:30:48,00 --> 00:30:52,50 	someone gets into his car.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS268 	00:51:06,00 --> 00:51:10,50 	someone and someone get out.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS347 	01:07:16,00 --> 01:07:20,50 	she gets in and checks herself in the mirror.
ZOMBIELAND.srt 	ZOMBIELAND_DVS90 	00:07:11,00 --> 00:07:17,50 	now a suitcase gets wheeled down a highway.
ZOMBIELAND.srt 	ZOMBIELAND_DVS303 	00:34:01,00 --> 00:34:07,50 	someone gets behind the wheel and swaps grins with her sister in back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS320 	00:36:05,00 --> 00:36:12,50 	now on a suburban street, little someone strides up to the convertible and gets in.
ZOMBIELAND.srt 	ZOMBIELAND_DVS367 	00:41:44,00 --> 00:41:50,50 	it gets back up.
ZOMBIELAND.srt 	ZOMBIELAND_DVS410 	00:46:54,00 --> 00:46:58,50 	they get back in.
ZOMBIELAND.srt 	ZOMBIELAND_DVS506 	00:59:06,00 --> 00:59:10,50 	getting someone's attention,
ZOOKEEPER.srt 	ZOOKEEPER_DVS44 	00:07:23,00 --> 00:07:28,50 	he gets his hand down the lionesss throat.
ZOOKEEPER.srt 	ZOOKEEPER_DVS262 	00:57:38,00 --> 00:57:45,50 	someone briefly hides her face then dramatically gets up.
ZOOKEEPER.srt 	ZOOKEEPER_DVS277 	01:00:21,00 --> 01:00:25,50 	get someone's gorgeous.
ZOOKEEPER.srt 	ZOOKEEPER_DVS288 	01:03:13,00 --> 01:03:18,50 	he gets up from his seat.
ZOOKEEPER.srt 	ZOOKEEPER_DVS305 	01:07:03,00 --> 01:07:09,50 	a valet brings them the mustang and they get in.
ZOOKEEPER.srt 	ZOOKEEPER_DVS397 	01:28:37,00 --> 01:28:42,50 	shane gets up from a computer in his underwear.
ZOOKEEPER.srt 	ZOOKEEPER_DVS424 	01:32:02,00 --> 01:32:10,50 	she gets out.
