21_JUMP_STREET.srt 	21_JUMP_STREET_DVS92 	00:12:00,00 --> 00:12:07,50 	an older african-american police officer wearing a badge on one hip
IRON_MAN_2.srt 	IRON_MAN_2_DVS365 	01:09:13,00 --> 01:09:19,50 	someone shakes his head at agent someone, a brown-haired man wearing a black suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS468 	01:25:33,00 --> 01:25:40,50 	later wearing goggles, someone inserts a prism into the accelerator and activates it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS523 	01:35:03,00 --> 01:35:12,50 	someone, wearing the war machine suit, the someone ii heavily modified with weapons, rises from the floor of the circular main stage.
IRON_MAN_2.srt 	IRON_MAN_2_DVS570 	01:39:34,00 --> 01:39:45,50 	an army drone stomps up to a young child wearing an iron man mask.
IRON_MAN_2.srt 	IRON_MAN_2_DVS644 	01:49:05,00 --> 01:49:15,50 	a person wearing a bulky, black armored suit drops inside the dome and lands in front of someone and someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS95 	00:27:57,00 --> 00:28:02,50 	wearing earbuds she halts quizzically.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS350 	01:38:48,00 --> 01:38:54,50 	robe wearing only a t-shirt and boxers underneath.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS67 	00:12:48,00 --> 00:12:53,50 	someone wears a saltshaker taped to his head.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS137 	00:27:58,00 --> 00:28:04,50 	now, an ad shows shaquille o'neal wearing a long gray wig.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS163 	00:33:03,00 --> 00:33:08,50 	wearing a shimmery teal outfit.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS318 	01:00:39,00 --> 01:00:45,50 	someone wears a lobster taped to his back.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS413 	01:17:35,00 --> 01:17:42,50 	she wears a winter coat and hat, and carries a grocery bag crammed with junk food.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS421 	01:18:05,00 --> 01:18:10,50 	at the wheel, someone wears a tiara and subtle make up.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS427 	01:18:26,00 --> 01:18:35,50 	a masculine blonde woman wearing a bouffant and a flashy navel revealing dress sits among other gaudy friends.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS192 	00:36:18,00 --> 00:36:23,50 	everyone wears a paper heart badge.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS238 	00:44:33,00 --> 00:44:41,50 	as he wraps the necklace around her neck, someone snaps off the fake plasticky pearls she's wearing.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS300 	01:00:00,00 --> 01:00:06,50 	both wear a collared knee-length dress of shiny fabric.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS191 	01:08:31,00 --> 01:08:40,50 	now by the hotel pool, he wears water wings.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS322 	01:42:22,00 --> 01:42:29,50 	the blonde approaches wearing a white dress and a magnolia in her hair.
KARATE_KID.srt 	KARATE_KID_DVS243 	00:21:25,00 --> 00:21:30,50 	someone wears an orange polo.
KARATE_KID.srt 	KARATE_KID_DVS400 	00:36:34,00 --> 00:36:38,50 	someone wears a wounded smirk.
KARATE_KID.srt 	KARATE_KID_DVS410 	00:37:28,00 --> 00:37:39,50 	as someone trudges through the gates, the only student not wearing his uniform, his eyes lock on the golden caps studding the doors.
KARATE_KID.srt 	KARATE_KID_DVS727 	01:01:44,00 --> 01:01:52,50 	now wearing casual clothes, the boy makes his way down the winding alley, and steps into someone's house.
KARATE_KID.srt 	KARATE_KID_DVS1102 	01:31:27,00 --> 01:31:36,50 	a lovely woman rides up front, wearing a worried gaze.
KARATE_KID.srt 	KARATE_KID_DVS1370 	01:50:36,00 --> 01:50:55,50 	at the tournament, someone wears the white jacket from someone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS33 	00:05:47,00 --> 00:05:52,50 	a middle-aged woman wearing glasses smiles.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS41 	00:06:37,00 --> 00:06:50,50 	another smiling performer wears a pink wig and a headband topped with a cupcake.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS41 	00:06:37,00 --> 00:06:50,50 	in full makeup and wearing a pinwheel dress, someone applies deodorant to her own underarms.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS68 	00:12:27,00 --> 00:12:34,50 	on stage someone wears a flouncy powder blue dress with short puffed sleeves.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS83 	00:16:42,00 --> 00:16:49,50 	in the audience a young blond girl wears a headband with a flashing pink heart bauble.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS88 	00:17:23,00 --> 00:17:27,50 	someone wears a sleeveless dress.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS127 	00:31:35,00 --> 00:31:41,50 	wearing a tight black shirt and pants, someone performs on stage.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS135 	00:36:55,00 --> 00:37:00,50 	on stage, someone wears a sequined gown.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS142 	00:39:27,00 --> 00:39:35,50 	back on stage, someone wearing the sequined gown and a long feather boa slides on the floor between the legs of her guitarist.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS161 	00:46:05,00 --> 00:46:11,50 	wearing her black wig now, someone approaches two young boys.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS164 	00:46:36,00 --> 00:46:43,50 	the boy wears a white tracheotomy tube neckband.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS173 	00:48:01,00 --> 00:48:15,50 	wearing a costume resembling a one-piece bathing suit with blue, red and yellow balls attached to it, someone dances across the stage.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS195 	00:51:54,00 --> 00:52:01,50 	wearing a ball cap, someone works out on an elliptical trainer.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS205 	00:53:14,00 --> 00:53:24,50 	elsewhere, lady gaga wearing a huge hat obscuring her face high fives someone.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS210 	00:54:12,00 --> 00:54:18,50 	wearing large eyeglasses and orthodontic headgear someone pumps her fist.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS227 	00:56:27,00 --> 00:56:33,50 	later someone wearing glasses and headgear makes two peace signs with her hands.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS255 	01:01:23,00 --> 01:01:31,50 	on a private plane, someone wearing sunglasses glances out a window.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS285 	01:05:55,00 --> 01:06:02,50 	wearing a hat resembling a red cherry , someone hugs a young female fan.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS294 	01:09:39,00 --> 01:09:44,50 	wearing sunglasses, someone tugs on her own fingers.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS304 	01:10:52,00 --> 01:10:58,50 	a sound technician wearing headphones gazes at the audience.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS326 	01:15:07,00 --> 01:15:14,50 	wearing a headset microphone someone strums an acoustic guitar.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS341 	01:20:05,00 --> 01:20:11,50 	wearing her wedding gown, someone gazes at herself in a mirror.
KNOCKED_UP.srt 	KNOCKED_UP_DVS61 	00:37:53,00 --> 00:38:00,50 	now at home and wearing pajamas someone makes a phone call.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS91 	00:29:48,00 --> 00:30:03,50 	beside him, someone wears a helmet and carries a shield, while someone wields a gardening hoe.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS198 	01:10:22,00 --> 01:10:31,50 	poolside, the three pals sleep, wearing matching towels around their waists.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS206 	00:48:06,00 --> 00:48:12,50 	someone wears vampire fangs.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS222 	00:50:54,00 --> 00:51:01,50 	later, someone enters the classroom wearing a tasseled scarf.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS275 	01:05:33,00 --> 01:05:38,50 	in class someone wears sunglasses.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS203 	00:26:38,00 --> 00:26:46,50 	now a round-faced teenage beauty dances with other girls wearing a vibrant red saari.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS579 	01:04:10,00 --> 01:04:17,50 	now wearing the sea anchor as a hat that shades his face, neck and shoulders,
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS704 	01:13:40,00 --> 01:13:44,50 	wearing his shirt as a turban,
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS124 	00:45:34,00 --> 00:45:42,50 	as he reads it, someone creeps up behind him wearing a trench coat over a negligee.
MORNING_GLORY.srt 	MORNING_GLORY_DVS45 	00:06:55,00 --> 00:07:03,50 	her and other ex-colleagues are wearing way to go, someone t-shirts.
MORNING_GLORY.srt 	MORNING_GLORY_DVS65 	00:12:22,00 --> 00:12:29,50 	wearing a mournful expression, she trudges down a hallway and into a lift.
MORNING_GLORY.srt 	MORNING_GLORY_DVS72 	00:12:58,00 --> 00:13:03,50 	he's in his 60s and wears black-rimmed specs.
MORNING_GLORY.srt 	MORNING_GLORY_DVS240 	00:52:39,00 --> 00:52:44,50 	someone's wearing a cream dressing gown.
MORNING_GLORY.srt 	MORNING_GLORY_DVS407 	01:29:18,00 --> 01:29:25,50 	she eyes him with anticipation wearing a slight smile and raising her brows.
MORNING_GLORY.srt 	MORNING_GLORY_DVS478 	01:40:04,00 --> 01:40:08,50 	she wears a pretty, floaty dress.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS234 	00:34:03,00 --> 00:34:10,50 	he wears his coat as he feeds the penguins.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS294 	00:38:23,00 --> 00:38:28,50 	he wears a thick vest and gloves.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS475 	00:56:45,00 --> 00:56:51,50 	now someone wears a dreamy smile as he strolls the hall to his apartment.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS170 	00:38:05,00 --> 00:38:13,50 	she wears a silky veil.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS256 	00:55:06,00 --> 00:55:11,50 	someone wears seven colorful medals.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS298 	01:05:21,00 --> 01:05:32,50 	both boys wear suits.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS302 	01:06:04,00 --> 01:06:09,50 	someone wears a military uniform and
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS396 	01:23:37,00 --> 01:23:43,50 	someone approaches someone, who wears one cuff on his wrist.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS415 	01:26:39,00 --> 01:26:46,50 	they wear candy striper uniforms.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS467 	01:35:35,00 --> 01:35:56,50 	someone wears the medal for kindness.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS50 	00:06:00,00 --> 00:06:09,50 	apart from someone who's wearing a bright yellow michigan top and beige chinos
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS51 	00:06:06,00 --> 00:06:10,50 	the men wear skullcaps.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS242 	00:41:34,00 --> 00:41:38,50 	she's wearing an engagement ring,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS294 	00:53:28,00 --> 00:53:35,50 	wearing a pretty purple strapless dress someone totters to a taxi in her high heels.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS470 	01:26:17,00 --> 01:26:22,50 	someone switches off the car headlights and gets out, wearing a pretty pale lilac someone dress.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS96 	00:25:07,00 --> 00:25:12,50 	later, someone wears his mother's high-heels.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS125 	00:31:53,00 --> 00:31:59,50 	wearing a puzzled frown, someone claps slowly.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS228 	00:54:39,00 --> 00:54:47,50 	someone wears an enraptured smile.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS253 	01:00:37,00 --> 01:00:45,50 	now in front of the school, someone wears a determined glare.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS258 	01:01:40,00 --> 01:01:50,50 	someone wears baggy track pants, a t-shirt over a long-sleeved hoodie, sleek framed sunglasses and a backwards newsboy cap.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS302 	01:11:23,00 --> 01:11:34,50 	someone wears a huge smile as someone drags him over the soaking lawn.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS126 	00:29:26,00 --> 00:29:32,50 	someone wears chest armor as he follows someone to the training field.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS310 	01:17:27,00 --> 01:17:34,50 	wearing an earpiece the bellhop speaks discreetly into a small microphone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS353 	01:26:50,00 --> 01:26:59,50 	he wears a leather vest and pants, and a black shirt with stylishly tattered sleeves.
PROMETHEUS.srt 	PROMETHEUS_DVS61 	00:03:27,00 --> 00:03:34,50 	wearing only a primitive undergarment around his hips.
PROMETHEUS.srt 	PROMETHEUS_DVS138 	00:08:17,00 --> 00:08:22,50 	wearing a helmet with a glowing amber visor over his eyes.
PROMETHEUS.srt 	PROMETHEUS_DVS144 	00:09:06,00 --> 00:09:10,50 	he wears a cross.
PROMETHEUS.srt 	PROMETHEUS_DVS462 	00:48:57,00 --> 00:49:01,50 	he wears the helmet with the glowing visor.
PROMETHEUS.srt 	PROMETHEUS_DVS723 	01:17:07,00 --> 01:17:12,50 	later, wearing a white tunic,
PROMETHEUS.srt 	PROMETHEUS_DVS871 	01:36:01,00 --> 01:36:12,50 	the only one still wearing her helmet.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS47 	00:07:57,00 --> 00:08:05,50 	without his overcoat, he wears a black vest and a leather gun holster.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS50 	00:08:35,00 --> 00:08:52,50 	a clean-cut man wearing suspenders swiftly moves after him toting a rifle.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS261 	00:49:43,00 --> 00:49:49,50 	handcuffs and someone runs out wearing a towel.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS264 	00:50:19,00 --> 00:50:37,50 	wearing cowboy hats, the officer's head out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS266 	00:50:42,00 --> 00:50:53,50 	wearing a crisp suit.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS508 	01:36:19,00 --> 01:36:47,50 	the woman wears a top similar to someone's.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS596 	01:51:46,00 --> 01:51:56,50 	he wears a straw boater hat and sports a trim mustache.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS649 	02:02:12,00 --> 02:02:37,50 	in a fur-collared coat, the exotically pretty actress wears a pensive expression.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS655 	02:03:58,00 --> 02:04:05,50 	someone wears a faint half-smile, his eyes shining.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS663 	02:05:00,00 --> 02:05:07,50 	younger friend wears a carefree grin.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS686 	02:08:43,00 --> 02:08:52,50 	clad in a simple gray dress, she wears a dull expression.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS40 	00:08:45,00 --> 00:08:51,50 	regal middle aged woman wearing a wimple strides down a hallway.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS300 	01:12:04,00 --> 01:12:10,50 	he wears a bashful smile.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS316 	01:16:24,00 --> 01:16:34,50 	little someone works beside someone who wears a joyful grin.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS372 	01:32:32,00 --> 01:32:41,50 	a gloved hand wearing a chain mail sleeves pats his shoulder.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS89 	00:15:28,00 --> 00:15:33,50 	in her year book photo, she wears a leather jacket.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS345 	00:55:58,00 --> 00:56:05,50 	wearing an indignant smirk, someone cocks his head and scans the group.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS623 	01:30:39,00 --> 01:30:45,50 	still wearing his glasses and clothes from the night before, as someone lick his ear.
SALT.srt 	SALT_DVS59 	00:11:34,00 --> 00:11:38,50 	he wears a ring.
SALT.srt 	SALT_DVS129 	00:24:03,00 --> 00:24:09,50 	wearing a mask, someone nods to a team member.
SALT.srt 	SALT_DVS180 	00:31:22,00 --> 00:31:27,50 	he wears a mild boyish smile.
SALT.srt 	SALT_DVS378 	01:07:24,00 --> 01:07:36,50 	in a flashback, someone wears a bridal veil.
SALT.srt 	SALT_DVS448 	01:17:15,00 --> 01:17:21,50 	secret service agent james joins a woman wearing a headset.
SANCTUM.srt 	SANCTUM_DVS20 	00:05:16,00 --> 00:05:23,50 	wearing only a wet suit, he goes through the motions of checking his equipment.
SANCTUM.srt 	SANCTUM_DVS23 	00:05:48,00 --> 00:05:54,50 	someone hands a camera to a goateed guy wearing a ramones t-shirt.
SANCTUM.srt 	SANCTUM_DVS314 	01:03:22,00 --> 01:03:29,50 	someone continues on wearing a bulky white rebreather on her back.
SANCTUM.srt 	SANCTUM_DVS562 	01:42:13,00 --> 01:42:18,50 	now, someone appears wearing his helmet light.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS39 	00:03:01,00 --> 00:03:08,50 	she wears her hair loose around her round, soft features.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS182 	00:13:21,00 --> 00:13:25,50 	she wears her bangs short, the rest of her hair in a long braid.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS580 	00:38:44,00 --> 00:38:51,50 	wearing white cloth over her nose and mouth, someone tends to lady someone, who lies in bed.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS609 	00:40:26,00 --> 00:40:31,50 	who now wears a mustache and smokes a pipe.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS614 	00:40:42,00 --> 00:40:52,50 	the center portion of her lips painted red, someone wears an elegant black silk robe with a royal blue yoke and elaborate silver jewelry.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS15 	00:03:15,00 --> 00:03:20,50 	his depiction wears victorian suit.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS185 	00:36:17,00 --> 00:36:25,50 	someone watches from the curio shop window and sees someone wearing someone's ring.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS212 	00:40:45,00 --> 00:40:51,50 	he notices someone wearing an identical pair.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS216 	00:41:38,00 --> 00:41:43,50 	someone wears a catcher's mask and pad
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS310 	01:03:33,00 --> 01:03:39,50 	wearing a plain-white shirt, he runs an electric toothbrush down his tongue.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS311 	01:03:37,00 --> 01:03:44,50 	now zipping up a hooded sweatshirt and wearing someone's ring, he returns
SOUL_SURFER.srt 	SOUL_SURFER_DVS298 	01:25:29,00 --> 01:25:33,50 	who wears an unsettled gaze.
SPARKLE_2012.srt 	SPARKLE_2012_DVS43 	00:07:26,00 --> 00:07:40,50 	the hallway light suddenly comes on, and a stern woman wearing a green nightgown and curlers emerges from an adjacent bedroom.
SPARKLE_2012.srt 	SPARKLE_2012_DVS92 	00:14:26,00 --> 00:14:33,50 	in another room, someone wears glasses and plays an upright piano alone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS99 	00:16:52,00 --> 00:16:59,50 	in the girl's bedroom, someone sits in bed wearing glasses and writing.
SPARKLE_2012.srt 	SPARKLE_2012_DVS114 	00:18:35,00 --> 00:18:42,50 	one dancer wears a hat tilted over his eyes, a lit cigarette in his mouth.
SPARKLE_2012.srt 	SPARKLE_2012_DVS115 	00:18:45,00 --> 00:18:56,50 	someone wearing a sleeveless dress, dances with someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS172 	00:28:59,00 --> 00:29:07,50 	now a girl wearing knee-high boots and a mini-dress crosses a busy street and enters a record store.
SPARKLE_2012.srt 	SPARKLE_2012_DVS174 	00:29:13,00 --> 00:29:20,50 	in the next booth, a man wearing earphones, smokes and examines a record album cover.
SPARKLE_2012.srt 	SPARKLE_2012_DVS182 	00:29:54,00 --> 00:30:03,50 	now in the someone's bedroom, someone wears curlers and straightens someone's hair.
SPARKLE_2012.srt 	SPARKLE_2012_DVS218 	00:34:26,00 --> 00:34:37,50 	someone blinks wearing a concerned frown.
SPARKLE_2012.srt 	SPARKLE_2012_DVS230 	00:35:46,00 --> 00:35:53,50 	sister wearing a sexy shoulder-less dress.
SPARKLE_2012.srt 	SPARKLE_2012_DVS254 	00:39:29,00 --> 00:39:35,50 	each wearing an identical black, silver, and red mini-dress.
SPARKLE_2012.srt 	SPARKLE_2012_DVS350 	00:58:28,00 --> 00:58:34,50 	she wears a blue nightgown with a hair scarf tied around the curlers in her hair.
SPARKLE_2012.srt 	SPARKLE_2012_DVS553 	01:30:57,00 --> 01:31:03,50 	now wearing a checkered outfit, she notices another businessman on his way out.
SPARKLE_2012.srt 	SPARKLE_2012_DVS554 	01:31:01,00 --> 01:31:08,50 	wearing an outfit with yellow sleeves, she eats a sandwich, kicking her leg out of boredom.
SPARKLE_2012.srt 	SPARKLE_2012_DVS609 	01:39:39,00 --> 01:39:47,50 	clad in a pale pink jumpsuit, she wears her un-styled curly hair in a low ponytail.
SPARKLE_2012.srt 	SPARKLE_2012_DVS622 	01:40:28,00 --> 01:40:33,50 	in a dressing room, someone wears a blue gown.
SPARKLE_2012.srt 	SPARKLE_2012_DVS629 	01:41:49,00 --> 01:41:56,50 	in the dressing room, someone wears a slinky crimson gown with a plunging neckline.
SUPER_8.srt 	SUPER_8_DVS38 	00:05:07,00 --> 00:05:17,50 	in a film, a boy wearing glasses and a trench coat grapples with a blond boy with blank bulbous eyes.
SUPER_8.srt 	SUPER_8_DVS174 	00:27:10,00 --> 00:27:15,50 	someone's sister wears a midriff top and skimpy shorts.
SUPER_8.srt 	SUPER_8_DVS195 	00:33:35,00 --> 00:33:44,50 	at the crash site, air force personnel wearing thick rubber gloves dust off white cubes and pack them into crates.
SUPER_8.srt 	SUPER_8_DVS228 	00:38:39,00 --> 00:38:45,50 	elsewhere, wearing dark-eyed zombie makeup someone examines herself in a mirror.
SUPER_8.srt 	SUPER_8_DVS246 	00:41:54,00 --> 00:42:00,50 	in the back of one truck, soldiers wearing berets use electronic instruments.
SUPER_8.srt 	SUPER_8_DVS286 	00:51:22,00 --> 00:51:27,50 	someone wearing a beret shakes his head.
SUPER_8.srt 	SUPER_8_DVS327 	00:59:00,00 --> 00:59:07,50 	later, the woman blows out a candle on a cupcake as the baby wears a party hat.
SUPER_8.srt 	SUPER_8_DVS401 	01:12:34,00 --> 01:12:41,50 	later, wearing the soldier's uniform someone runs through the building and approaches a window.
SUPER_8.srt 	SUPER_8_DVS439 	01:18:33,00 --> 01:18:39,50 	still wearing the uniform, someone arrives at the evacuation hangar.
SUPER_8.srt 	SUPER_8_DVS576 	01:35:33,00 --> 01:35:42,50 	someone, someone, and tina the woman wearing rollers followed the sheriff past the creatures collection of wires and other equipment then into a tunnel.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS48 	00:05:24,00 --> 00:05:30,50 	two man wearing bowlers peer through holes punched through the same newspaper.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS424 	01:01:17,00 --> 01:01:24,50 	in slow motion, a pirate wearing a plumed hat strides down the length of a burning mast.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS432 	01:02:34,00 --> 01:02:39,50 	a man wearing a military cap
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS504 	01:12:36,00 --> 01:12:42,50 	men wearing head scarves fill buckets and pails with water from a hand pump.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS505 	01:12:40,00 --> 01:12:46,50 	wearing a pith helmet someone hurries past several vendors.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS507 	01:12:45,00 --> 01:12:49,50 	a man wearing a turban blinks.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS608 	01:22:20,00 --> 01:22:24,50 	he lands wearing a dress.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS74 	00:16:59,00 --> 00:17:12,50 	he leans over a sketchbook with a pen and adds to a drawing which includes a horned cyclops wearing a party hat.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS82 	00:18:51,00 --> 00:19:01,50 	in the movie theater, someone glances at someone who wears glasses.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS87 	00:19:48,00 --> 00:20:02,50 	wearing his trench coat someone slowly ambles along with a briefcase in hand.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS136 	00:30:14,00 --> 00:30:20,50 	someone answers it wearing a shiny lam dress.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS209 	00:39:35,00 --> 00:39:45,50 	wearing dark framed glasses, someone sits on her bed and reads.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS211 	00:40:58,00 --> 00:41:07,50 	wearing a coiled white scarf, someone moves to a painting of two red rectangles below a white one.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS250 	00:47:53,00 --> 00:48:01,50 	now he wears a different but similar outfit as he lies on his bed with his eyes closed.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS255 	00:48:49,00 --> 00:49:04,50 	someone scrutinizes him curiously, and someone wears a wounded expression.
