21_JUMP_STREET.srt 	21_JUMP_STREET_DVS46 	00:04:50,00 --> 00:04:55,50 	he proudly shows his score, a c-.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS305 	01:00:19,00 --> 01:00:29,50 	outside, upstairs windows show a crowded cocktail party within.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS362 	01:09:33,00 --> 01:09:41,50 	later, the timer shows one minute remaining.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS496 	01:35:11,00 --> 01:35:17,50 	someone shows her a letter.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS502 	01:37:49,00 --> 01:37:56,50 	a book entitled, real home-cooking, shows a chubby american woman.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS506 	01:39:23,00 --> 01:39:43,50 	someone's laptop screen shows her write, "so last night i made floating."
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS607 	01:57:18,00 --> 01:57:21,50 	and shows to the portrait.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS72 	00:25:27,00 --> 00:25:37,50 	from a stairway, someone ascends into view in a white sheet dress that shows off her long tan legs and graceful curves.
KARATE_KID.srt 	KARATE_KID_DVS47 	00:04:02,00 --> 00:04:06,50 	he shows a magazine.
KARATE_KID.srt 	KARATE_KID_DVS72 	00:06:05,00 --> 00:06:10,50 	a nearby sign shows a chinese character.
KARATE_KID.srt 	KARATE_KID_DVS167 	00:14:02,00 --> 00:14:08,50 	he shows it to the aging players at the table, who nod.
KARATE_KID.srt 	KARATE_KID_DVS658 	00:55:38,00 --> 00:55:53,50 	an aerial view shows mr.
KARATE_KID.srt 	KARATE_KID_DVS786 	01:06:27,00 --> 01:06:38,50 	the cover shows a photo of someone on a hand-drawn background that reads, "play along.
KARATE_KID.srt 	KARATE_KID_DVS1037 	01:24:10,00 --> 01:24:16,50 	now, a child's drawing shows a coiled cobra with a fanned hood.
KARATE_KID.srt 	KARATE_KID_DVS1182 	01:37:08,00 --> 01:37:15,50 	the clipping shows photos of a smiling young woman and a pudgy-cheeked young boy.
KARATE_KID.srt 	KARATE_KID_DVS1184 	01:37:13,00 --> 01:37:18,50 	a third photo shows a wrecked scirocco,
KARATE_KID.srt 	KARATE_KID_DVS1215 	01:39:24,00 --> 01:39:34,50 	one shows gong gong peeking through a beaded curtain, and another shows zhang smiling as gong gong harvests a piece of fruit from a tree.
KARATE_KID.srt 	KARATE_KID_DVS1215 	01:39:24,00 --> 01:39:34,50 	one shows gong gong peeking through a beaded curtain, and another shows zhang smiling as gong gong harvests a piece of fruit from a tree.
KARATE_KID.srt 	KARATE_KID_DVS1231 	01:40:59,00 --> 01:41:05,50 	it shows someone posing with his wife and son, surrounded by greenery.
KARATE_KID.srt 	KARATE_KID_DVS1273 	01:43:04,00 --> 01:43:10,50 	his shadow shows him raise one knee and balance on one leg.
KARATE_KID.srt 	KARATE_KID_DVS1278 	01:43:18,00 --> 01:43:26,50 	their shadows show someone puppet someone through a series of fluid movements.
KARATE_KID.srt 	KARATE_KID_DVS1282 	01:43:36,00 --> 01:43:44,50 	someone's shadow shows the high-kick pose, as he balances easily on his other leg.
KARATE_KID.srt 	KARATE_KID_DVS1438 	01:56:44,00 --> 01:56:51,50 	the big screen shows the names and photos of the four semifinalists.
KARATE_KID.srt 	KARATE_KID_DVS1439 	01:56:48,00 --> 01:56:55,50 	next, it shows someone versus the mohawk boy, named someone ping.
KARATE_KID.srt 	KARATE_KID_DVS1561 	02:06:20,00 --> 02:06:32,50 	the big screen shows a point awarded to someone.
KARATE_KID.srt 	KARATE_KID_DVS1566 	02:07:06,00 --> 02:07:18,50 	the big screen shows a point awarded to someone, tying the score at 1 to 1.
KARATE_KID.srt 	KARATE_KID_DVS1590 	02:09:46,00 --> 02:09:52,50 	the score display shows a point being awarded to someone,
KNOCKED_UP.srt 	KNOCKED_UP_DVS42 	00:26:51,00 --> 00:26:55,50 	the screen shows the guys email address.
KNOCKED_UP.srt 	KNOCKED_UP_DVS91 	00:55:28,00 --> 00:55:36,50 	a baby bjorn baby sling box shows a couple beaming at each other.
KNOCKED_UP.srt 	KNOCKED_UP_DVS91 	00:55:28,00 --> 00:55:36,50 	someone winces at the picture then shows it to someone.
KNOCKED_UP.srt 	KNOCKED_UP_DVS96 	00:57:50,00 --> 00:57:55,50 	now a website shows a grinning cartoon logo.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS16 	00:06:45,00 --> 00:06:53,50 	he puts down a stack of papers, and picks up the prehistoric rock, which shows a familiar indentation.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS259 	01:31:43,00 --> 01:31:48,50 	today show logo rotates.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS12 	00:04:09,00 --> 00:04:13,50 	it shows all team of executives.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS16 	00:05:31,00 --> 00:05:35,50 	man shows a ring.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS23 	00:06:57,00 --> 00:07:21,50 	a view with the left break light shows the suv gliding into the driveway of a modest home with a well-manicured front lawn.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS24 	00:07:19,00 --> 00:07:38,50 	an open doorway shows a glimpse of someone shoveling through the house.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS259 	01:01:49,00 --> 01:01:53,50 	she shows her ring.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS311 	01:13:53,00 --> 01:13:57,50 	she shows her lower back.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS323 	01:15:15,00 --> 01:15:23,50 	it's warmly lit window show a family milling about inside.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS218 	00:29:09,00 --> 00:29:17,50 	surrounded by banyan trees, someone glances down then shows someone a warm smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS516 	00:56:48,00 --> 00:56:56,50 	someone peers out at him from the edge of the boat, his parted lips showing his long, sharp fangs.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS535 	00:58:14,00 --> 00:58:23,50 	a birds-eye view shows the can about ten yards from someone's raft sending out gentle ripples over the current-less sea.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS746 	01:17:39,00 --> 01:17:46,50 	he gets a claw stuck in the wood and rips it free then shows his teeth to someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS774 	01:19:22,00 --> 01:19:29,50 	someone's mouth hangs open and he shows a slight grin, then glances at the other side of the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1028 	01:40:24,00 --> 01:40:31,50 	from a distance, the island shows contours like that of the human body lying on its back.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1103 	01:55:00,00 --> 01:55:05,50 	someone's parted lips show a chipped front tooth.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS20 	00:07:09,00 --> 00:07:41,50 	a framed photo shows someone with a bedouin, dressed as a bedouin.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS20 	00:07:09,00 --> 00:07:41,50 	sepia-toned photo shows dates, men, and officers resembling someone.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS83 	00:30:58,00 --> 00:31:03,50 	a photo shows surgeons.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS168 	00:59:20,00 --> 00:59:25,50 	she shows someone a phony eye chart.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS289 	01:31:38,00 --> 01:31:59,50 	the image loads up showing someone speaking at the medical convention.
MORNING_GLORY.srt 	MORNING_GLORY_DVS124 	00:28:27,00 --> 00:28:33,50 	frowning, someone stares, lines showing on his forehead.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS151 	00:22:09,00 --> 00:22:15,50 	he shows a closer image of someone cheering and freezes it.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS703 	01:27:12,00 --> 01:27:24,50 	as the four someone gaze down at the crowd of penguins, our view lifts back over the snowy ridge and widens to show an ice burg in the rippling ocean beyond.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS145 	00:33:00,00 --> 00:33:19,50 	now framed photos show someone and rory on their wedding day and rory playing cricket.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS259 	00:56:21,00 --> 00:56:25,50 	someone shows an illustration.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS419 	01:28:08,00 --> 01:28:14,50 	a large blonde woman shows a stuffed and mounted owl.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS86 	00:11:46,00 --> 00:11:51,50 	a guy shows a picture to the girls.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS30 	00:06:41,00 --> 00:06:50,50 	now an aerial view shows the atlanta skyline.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS67 	00:16:41,00 --> 00:16:47,50 	inside, the monitor shows an animated front door closing.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS69 	00:17:58,00 --> 00:18:04,50 	on the mantle photos show the kids with their other grandparents.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS140 	00:36:49,00 --> 00:36:56,50 	now the living room flat screen shows a scary puppet riding a tricycle.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS164 	00:41:21,00 --> 00:41:29,50 	at the music academy for the arts, someone beams proudly as a window shows someone rehearsing a piece on the violin.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS316 	01:15:23,00 --> 01:15:30,50 	someone snaps photos as her granddaughter shows off her curled hair.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS277 	01:10:19,00 --> 01:10:25,50 	now a tv in a diner shows a news report as the young heroes eat.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS287 	01:11:47,00 --> 01:11:56,50 	an illuminated logo shows a dark pink dome-shaped flower over the words lotus hotel and casino.
PROMETHEUS.srt 	PROMETHEUS_DVS75 	00:04:18,00 --> 00:04:26,50 	within, a microscopic view shows golden strands of dna blackening, then breaking apart.
PROMETHEUS.srt 	PROMETHEUS_DVS137 	00:08:13,00 --> 00:08:19,50 	now, a monitor showing vital signs, bears the name someone.
PROMETHEUS.srt 	PROMETHEUS_DVS145 	00:09:16,00 --> 00:09:21,50 	an image shows his hand laying the cross in hers.
PROMETHEUS.srt 	PROMETHEUS_DVS158 	00:10:00,00 --> 00:10:06,50 	a screen at the top shows a girl playing a violin.
PROMETHEUS.srt 	PROMETHEUS_DVS219 	00:17:42,00 --> 00:17:46,50 	he shows a silver cube.
PROMETHEUS.srt 	PROMETHEUS_DVS221 	00:18:21,00 --> 00:18:27,50 	he lines up the images to show overlapping patterns.
PROMETHEUS.srt 	PROMETHEUS_DVS224 	00:18:58,00 --> 00:19:03,50 	he shows the ringed planet.
PROMETHEUS.srt 	PROMETHEUS_DVS243 	00:22:09,00 --> 00:22:14,50 	the windows show a field.
PROMETHEUS.srt 	PROMETHEUS_DVS246 	00:22:30,00 --> 00:22:37,50 	now, multiple screens show data and imagery over someone's computer.
PROMETHEUS.srt 	PROMETHEUS_DVS254 	00:24:20,00 --> 00:24:27,50 	another field shows swirling patterns, indicating previous lava flow.
PROMETHEUS.srt 	PROMETHEUS_DVS261 	00:25:01,00 --> 00:25:09,50 	it shows a structure peeking out from behind a mountain.
PROMETHEUS.srt 	PROMETHEUS_DVS296 	00:29:14,00 --> 00:29:22,50 	her helmet's computerized view shows long, low entrances carved into the dome's base.
PROMETHEUS.srt 	PROMETHEUS_DVS305 	00:29:58,00 --> 00:30:05,50 	a view through a helmet camera shows a few of the team exploring the cavernous space.
PROMETHEUS.srt 	PROMETHEUS_DVS308 	00:30:19,00 --> 00:30:28,50 	as the team ventures in, holographic monitors each show the captain a crew member's computerized helmet view.
PROMETHEUS.srt 	PROMETHEUS_DVS511 	00:54:34,00 --> 00:54:45,50 	meanwhile, on the bridge, the holographic map shows the pups still tracing out tunnels and chambers and someone's and someone's location within.
PROMETHEUS.srt 	PROMETHEUS_DVS551 	01:01:29,00 --> 01:01:37,50 	as the storm rages outside, someone's helmet view shows fluid streaming from the urns.
PROMETHEUS.srt 	PROMETHEUS_DVS614 	01:07:40,00 --> 01:07:49,50 	as someone ventures forward, the doorway shows thousands of urns stacked in giant hourglass-shaped units.
PROMETHEUS.srt 	PROMETHEUS_DVS618 	01:08:00,00 --> 01:08:06,50 	someone's screen shows the countless supply.
PROMETHEUS.srt 	PROMETHEUS_DVS875 	01:36:38,00 --> 01:36:44,50 	a hologram shows the tunnel system without the surrounding terrain.
PROMETHEUS.srt 	PROMETHEUS_DVS999 	01:49:28,00 --> 01:49:36,50 	on the far end, the false windows show the video of the little girl playing the violin.
PROMETHEUS.srt 	PROMETHEUS_DVS1007 	01:50:01,00 --> 01:50:10,50 	wet with condensation, the doors windows show the med pod moving on its own in the flickering light.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS162 	00:29:24,00 --> 00:29:29,50 	fbi field office, a chubby agent shows a jacket.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS185 	00:35:26,00 --> 00:35:32,50 	a recent flashback shows them writhing ecstatically.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS186 	00:35:40,00 --> 00:36:03,50 	another flash shows someone kiss her mouth.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS205 	00:39:08,00 --> 00:39:14,50 	returning, the woman shows off her shoes.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS263 	00:50:07,00 --> 00:50:18,50 	the door showing an isolated cell block.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS283 	00:53:57,00 --> 00:54:05,50 	a black-and-white view through one shows a police officer.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS464 	01:28:53,00 --> 01:29:03,50 	a view through the leafy canopy shows the criminals scurrying off.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	now, he crosses to a bulletin board showing mugshots of someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS625 	01:57:18,00 --> 01:58:13,50 	someone's gaze roves down a line of mugshots showing makley, someone, someone, homer, someone, gil, and youngblood, all stamped with the word deceased.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS210 	00:50:28,00 --> 00:50:43,50 	someone shifts his weight and extends his arm showing someone the oval ring in his hand.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS42 	00:07:13,00 --> 00:07:19,50 	someone shakes his hand, pats him on the back, and shows him to his seat.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS205 	00:34:15,00 --> 00:34:22,50 	now at the hollywood forever cemetery, a movie screen shows zombie attacks.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS678 	01:38:42,00 --> 01:38:47,50 	someone shows her the book's author picture.
SALT.srt 	SALT_DVS29 	00:05:42,00 --> 00:05:48,50 	she shows a folded paper napkin.
SALT.srt 	SALT_DVS31 	00:06:54,00 --> 00:07:00,50 	a security monitor shows their names, someone and someone.
SALT.srt 	SALT_DVS38 	00:07:58,00 --> 00:08:03,50 	a monitor shows his brain activity.
SALT.srt 	SALT_DVS92 	00:19:16,00 --> 00:19:25,50 	now someone and someone enter a security hub where a monitor shows someone in the elevator shooting his victims in the head.
SALT.srt 	SALT_DVS93 	00:19:33,00 --> 00:19:38,50 	she shows a photo.
SALT.srt 	SALT_DVS95 	00:19:50,00 --> 00:19:56,50 	a monitor shows someone in the hallway.
SALT.srt 	SALT_DVS113 	00:21:38,00 --> 00:21:50,50 	a monitor shows her approaching.
SALT.srt 	SALT_DVS137 	00:24:53,00 --> 00:24:58,50 	a security feed shows someone outside the building.
SALT.srt 	SALT_DVS140 	00:25:20,00 --> 00:25:27,50 	a window shows someone tossing down his bulletproof vest as he returns.
SALT.srt 	SALT_DVS148 	00:26:13,00 --> 00:26:25,50 	shutting her eyes, she gently pounds the back of her head against the seat back then recalls someone showing her photographs of someone.
SALT.srt 	SALT_DVS181 	00:31:26,00 --> 00:31:33,50 	later, he shows her a bulbous black spider resting in a glass-encased web.
SALT.srt 	SALT_DVS331 	00:59:19,00 --> 00:59:29,50 	later, the passengers file off the ferry, past a tv showing a newscast.
SALT.srt 	SALT_DVS384 	01:08:19,00 --> 01:08:25,50 	the man shows his scarred cheek.
SALT.srt 	SALT_DVS390 	01:08:55,00 --> 01:09:00,50 	he shows a blueprint.
SALT.srt 	SALT_DVS398 	01:09:39,00 --> 01:09:56,50 	an aerial view shows the lights of washington d.c. glowing around the dome of the capital building.
SALT.srt 	SALT_DVS477 	01:22:02,00 --> 01:22:11,50 	now a status bar shows the authorization reaching 29%.
SALT.srt 	SALT_DVS546 	01:34:05,00 --> 01:34:23,50 	a window shows their approach over the potomac river.
SALT.srt 	SALT_DVS552 	01:35:20,00 --> 01:35:28,50 	it shows no sign of the mysterious woman.
SANCTUM.srt 	SANCTUM_DVS55 	00:12:23,00 --> 00:12:27,50 	he shows a liquor bottle.
SANCTUM.srt 	SANCTUM_DVS160 	00:33:59,00 --> 00:34:08,50 	the aerial shows the deluge plummeting into the cave's pitch black mouth.
SANCTUM.srt 	SANCTUM_DVS261 	00:53:53,00 --> 00:54:11,50 	outside the tunnel, the exit shows no sign of her approach.
SANCTUM.srt 	SANCTUM_DVS469 	01:27:09,00 --> 01:27:19,50 	later, a view through the skylight shows towering trees below a cloudy sky.
SANCTUM.srt 	SANCTUM_DVS474 	01:28:20,00 --> 01:28:29,50 	now, a wide view shows pale light shining through the hole casting the cavern in a purple-tinged glow.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS598 	00:39:43,00 --> 00:39:51,50 	now, a view through a barred upper floor window shows a man lying dead in the street below.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1274 	01:26:07,00 --> 01:26:14,50 	on the opposite page, an illustration shows light from an oncoming train shining brightly from a round tunnel.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS61 	00:12:30,00 --> 00:12:35,50 	the innermost doll now shows a man with a high forehead and long fingernail
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS82 	00:15:55,00 --> 00:16:00,50 	someone shows a wolf calendar.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS156 	00:30:44,00 --> 00:30:55,50 	its outermost portrait still shows the man with long fingernails.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS179 	00:35:04,00 --> 00:35:10,50 	someone shows a smidge with his fingers.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS184 	00:36:04,00 --> 00:36:13,50 	the next doll shows a puritan girl.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS317 	01:04:18,00 --> 01:04:25,50 	his shadow on the wall shows him swinging, but the mop head strings dodge each blow.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS366 	01:17:21,00 --> 01:17:28,50 	later, someone shows someone more illustrations in the incantus.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS371 	01:18:16,00 --> 01:18:23,50 	he shows someone the jewel-drop-pendant necklace from the market.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS375 	01:19:14,00 --> 01:19:18,50 	it shows the puritan girl.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS464 	01:38:20,00 --> 01:38:28,50 	an aerial view shows plasma flick.
SOUL_SURFER.srt 	SOUL_SURFER_DVS41 	00:12:53,00 --> 00:13:03,50 	in the gazebo, the young woman shows an image on a tv.
SOUL_SURFER.srt 	SOUL_SURFER_DVS307 	01:32:31,00 --> 01:32:35,50 	the timer shows less than two minutes.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS717 	01:35:48,00 --> 01:35:53,50 	the butler nestor shows them inside.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS36 	00:08:15,00 --> 00:08:23,50 	his drawing shows a fist punching the teeth out of the bearded teacher's grotesque caricature.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS79 	00:18:00,00 --> 00:18:05,50 	his drawing shows the demon punching through the page.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS81 	00:18:43,00 --> 00:18:53,50 	now a film shows a man and boy descending a spiral staircase on the eiffel tower.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS95 	00:22:28,00 --> 00:22:33,50 	a monitor shows an abstract painting.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS187 	00:36:45,00 --> 00:36:52,50 	one last glimpse shows the dresser without someone in front of it.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS47 	00:08:45,00 --> 00:08:55,50 	he shows a badge on his belt.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS106 	00:21:11,00 --> 00:21:22,50 	now, a bird's-eye view shows someone's car exiting a tunnel and approaching a toll plaza.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS191 	00:39:28,00 --> 00:39:32,50 	he shows her the dice.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS203 	00:41:12,00 --> 00:41:17,50 	he shows the dice but she keeps her lips together.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS274 	00:51:45,00 --> 00:52:00,50 	later, an aerial view shows his baby-blue delta driving away from the taj mahal.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS297 	00:54:23,00 --> 00:54:32,50 	it reads, cupid's cabin and shows a picture of a bed and breakfast in a victorian style mansion.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS356 	01:06:07,00 --> 01:06:12,50 	he shows his tattooed chest.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS409 	01:16:58,00 --> 01:17:04,50 	it shows someone and him beaming as bride and groom.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS540 	01:37:46,00 --> 01:37:54,50 	a view through tall shelving units crammed with evidence shows the couple prowl forward.
THE_CALL.srt 	THE_CALL_DVS778 	00:58:46,00 --> 00:58:56,50 	the call disconnects as a flashback shows someone bringing a fist down toward someone.
THE_CALL.srt 	THE_CALL_DVS809 	01:01:20,00 --> 01:01:27,50 	an aerial photo shows the blond teen's body stripped down in the desert with blood around her head.
THE_CALL.srt 	THE_CALL_DVS932 	01:11:29,00 --> 01:11:34,50 	which shows off her thick blond hair.
THE_CALL.srt 	THE_CALL_DVS933 	01:11:32,00 --> 01:11:40,50 	someone shuffles through more photos showing the sickly girl with her brother at her bedside.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS42 	00:07:59,00 --> 00:08:07,50 	one shows a polynesian woman, the other a bearded caucasian man.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS61 	00:13:23,00 --> 00:13:29,50 	a distant doorway shows a nurse making a bed.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS254 	00:40:16,00 --> 00:40:20,50 	someone shows his black eye.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS277 	00:43:36,00 --> 00:43:45,50 	the real estate sign lists the name someone speer and shows a happy photo of a beady-eyed man with a toothy grin.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS296 	00:45:11,00 --> 00:45:19,50 	in the hospital, a pair of windowed doors show someone arriving with his daughters in tow.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS311 	00:47:03,00 --> 00:47:09,50 	another photo shows a radiantly smiling someone.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS331 	00:51:03,00 --> 00:51:09,50 	someone shows the cellphone to someone and her eyes widen.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS407 	01:01:39,00 --> 01:01:47,50 	later, strolling the beach, someone shows someone a photo of someone speer from a real estate ad.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS534 	01:17:41,00 --> 01:17:51,50 	his weary profile shows against the backdrop of the lively performers.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS649 	01:32:52,00 --> 01:32:57,50 	another shows a frizzy-haired woman.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS792 	01:47:05,00 --> 01:47:12,50 	a skyward view from the ashes shows a breeze blowing through his grey hair.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS159 	00:16:50,00 --> 00:16:57,50 	a flashback shows a young woman on the beach.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS313 	00:37:58,00 --> 00:38:09,50 	as the door slides shut a view through its window shows her enraged face.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS359 	00:44:16,00 --> 00:44:21,50 	its shattered screen shows a blinking question someone.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS483 	00:55:25,00 --> 00:55:31,50 	four wallet size photos show the young vanger women.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS527 	00:59:34,00 --> 00:59:40,50 	the blinds show her silhouette.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS545 	01:01:23,00 --> 01:01:33,50 	one shows the blurred figure of a young woman at a window.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS585 	01:04:44,00 --> 01:04:48,50 	she shows her bag.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS587 	01:04:54,00 --> 01:04:59,50 	the screen shows a video of someone raping her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS620 	01:08:22,00 --> 01:08:30,50 	someone's brow creases as the images show someone smiling among her girlfriends.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS773 	01:29:08,00 --> 01:29:15,50 	a photo shows a woman near someone snapping a picture.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS789 	01:30:37,00 --> 01:30:43,50 	he shows a middle-aged clerk the photos of the woman from the parade
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS799 	01:32:01,00 --> 01:32:05,50 	he shows a photo.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS806 	01:32:38,00 --> 01:32:46,50 	his gaze stops on a picture showing the back of someone's head and the people across the street from her.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS829 	01:34:41,00 --> 01:34:47,50 	the image of the drowning site shows a dock on the vanger estate.
