21_JUMP_STREET.srt 	21_JUMP_STREET_DVS56 	00:05:54,00 --> 00:05:58,50 	he sees a biker gang.
PROMETHEUS.srt 	PROMETHEUS_DVS498 	00:51:59,00 --> 00:52:08,50 	now, someone enters the mess hall with a bottle of liquor and sees holloway drunkenly fiddling with balls on the pool table.
PROMETHEUS.srt 	PROMETHEUS_DVS591 	01:06:00,00 --> 01:06:06,50 	a lone crew member sees them off, then twirls his finger in the air.
PROMETHEUS.srt 	PROMETHEUS_DVS986 	01:48:29,00 --> 01:48:36,50 	turning, someone sees the lifeboat and staggers over the someone littered ground.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS70 	00:11:57,00 --> 00:12:08,50 	as he crosses to the house, someone tosses a set of keys to someone who joins someone to see the new car.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS83 	00:13:54,00 --> 00:14:07,50 	he sees an arriving police car and backs into a recess by a set of double doors.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS214 	00:40:11,00 --> 00:40:16,50 	barton sees the rugged man behind him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS221 	00:40:50,00 --> 00:41:17,50 	outside, someone sees two men hurrying down the alley steps.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS510 	01:36:55,00 --> 01:37:04,50 	in another car, two more agents see someone in an overcoat and fedora totting a paper bag across a dark alley.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS616 	01:55:57,00 --> 01:56:03,50 	above the entrance, he sees the sign for the chicago police department.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS78 	00:21:06,00 --> 00:21:12,50 	across the way someone sees them.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS139 	00:35:36,00 --> 00:35:45,50 	rubbing his eyes, he sees someone and someone asleep on the floor nearby.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS143 	00:36:28,00 --> 00:36:39,50 	she sees the approaching ship.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS154 	00:38:33,00 --> 00:38:41,50 	someone and his comrade join the crowd and see the queen holding the fallen monarch's battle crown.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS185 	00:44:26,00 --> 00:44:33,50 	she turns toward the forest and sees a group of bare chested boys running away.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS214 	00:51:35,00 --> 00:51:39,50 	he sees more boys running through the trees.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS403 	01:38:56,00 --> 01:39:03,50 	someone and king someone see someone and his men at the back of the assembled town's people
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS447 	01:51:24,00 --> 01:51:29,50 	someone sees a cart arriving, pulled by her clydesdales.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS508 	02:06:54,00 --> 02:06:58,50 	king someone sees someone.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS112 	00:20:15,00 --> 00:20:23,50 	someone sees the couple off then heads inside.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS586 	01:27:34,00 --> 01:27:40,50 	and sees someone on the floor in front of his desk.
SALT.srt 	SALT_DVS87 	00:18:36,00 --> 00:18:48,50 	someone sees a security officer speaking with someone and someone.
SALT.srt 	SALT_DVS173 	00:29:40,00 --> 00:29:50,50 	peeking inside, she sees a young girl in headphones doing homework at a table.
SALT.srt 	SALT_DVS423 	01:13:44,00 --> 01:13:53,50 	meanwhile hiding against the wall by the stairs, someone peers around the corner and sees a tactical team shuffling pass.
SALT.srt 	SALT_DVS434 	01:15:01,00 --> 01:15:12,50 	in the shaft, someone sees two parallel rails running down a wall.
SALT.srt 	SALT_DVS464 	01:19:23,00 --> 01:19:29,50 	through a doorway, they see officer dryers body fall to the ground.
SALT.srt 	SALT_DVS469 	01:20:28,00 --> 01:20:43,50 	peering through a window, someone sees the commander-in-chief fall out of his chair.
SALT.srt 	SALT_DVS532 	01:30:49,00 --> 01:31:09,50 	she sees the washington monument pass by.
SALT.srt 	SALT_DVS549 	01:34:40,00 --> 01:34:48,50 	seeing a river below, she discreetly unbuckles her seat belt.
SANCTUM.srt 	SANCTUM_DVS144 	00:30:41,00 --> 00:30:49,50 	someone sees his father standing at the water's edge, his arms cradling someone limp body.
SANCTUM.srt 	SANCTUM_DVS475 	01:28:27,00 --> 01:28:42,50 	see ya."
SANCTUM.srt 	SANCTUM_DVS493 	01:31:08,00 --> 01:31:16,50 	someone's expression crumbles and someone turns to see someone's pale and swollen face.
SANCTUM.srt 	SANCTUM_DVS505 	01:34:29,00 --> 01:34:36,50 	young man turns to see someone rising to his feet nearby holding a glow stick.
SANCTUM.srt 	SANCTUM_DVS539 	01:39:45,00 --> 01:39:53,50 	coming out from around a bulging rock, he sees someone's body wedged against the ceiling up ahead.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS410 	00:27:30,00 --> 00:27:35,50 	she exits the room and sees someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS453 	00:29:56,00 --> 00:30:02,50 	moving closer to the bright panel, she sees rows of chinese characters.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS584 	00:39:00,00 --> 00:39:06,50 	upon seeing them, he covers his mouth and steps back out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS841 	00:55:43,00 --> 00:55:48,50 	she leans a little further to see below.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS958 	01:02:13,00 --> 01:02:19,50 	behind him, someone wakes to see her husband grimacing skyward.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1278 	01:27:17,00 --> 01:27:23,50 	we see someone sitting in a red tinted bathtub.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1334 	01:31:41,00 --> 01:31:47,50 	flipping it over, she sees writing on only half of the back panels.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS127 	00:24:24,00 --> 00:24:29,50 	he looks across the track and sees a wolf.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS155 	00:30:40,00 --> 00:30:44,50 	someone sees someone tossing the doll.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS185 	00:36:17,00 --> 00:36:25,50 	someone watches from the curio shop window and sees someone wearing someone's ring.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS281 	00:57:37,00 --> 00:57:45,50 	meanwhile, trapped in the mirror, someone sees a student walk by.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS291 	01:00:46,00 --> 01:00:52,50 	someone sees his dog chewing on some cables.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS354 	01:14:20,00 --> 01:14:25,50 	struggling to see through the fog,
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS389 	01:21:48,00 --> 01:22:06,50 	he sees a map spread out on the desk, with a someone circle drawn around one section labeled, forbidden domain.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS395 	01:22:46,00 --> 01:22:52,50 	he sees a faded rendering of a female on its black surface.
SOUL_SURFER.srt 	SOUL_SURFER_DVS75 	00:25:04,00 --> 00:25:10,50 	her vision blurred, the wounded girl sees each of their faces.
SPARKLE_2012.srt 	SPARKLE_2012_DVS34 	00:06:31,00 --> 00:06:37,50 	someone removes her jacket and sees a man leering at her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS79 	00:13:23,00 --> 00:13:31,50 	as the group leaves, someone sees someone walk away from the front door, and deeper into the house.
SPARKLE_2012.srt 	SPARKLE_2012_DVS115 	00:18:45,00 --> 00:18:56,50 	she looks around and sees a silhouetted couple kissing.
SPARKLE_2012.srt 	SPARKLE_2012_DVS127 	00:21:07,00 --> 00:21:13,50 	they turn and see an upstairs light come on in the house.
SPARKLE_2012.srt 	SPARKLE_2012_DVS152 	00:26:16,00 --> 00:26:23,50 	they see someone struthers in a fur trimmed overcoat beside an albino man and well-dressed woman.
SPARKLE_2012.srt 	SPARKLE_2012_DVS193 	00:31:24,00 --> 00:31:30,50 	he sees someone toss the white sedan's keys to the valet.
SPARKLE_2012.srt 	SPARKLE_2012_DVS568 	01:33:33,00 --> 01:33:39,50 	through the paned panel, she can see someone approach.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS108 	00:25:09,00 --> 00:25:14,50 	seeing someone with someone, he giggles.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS129 	00:29:05,00 --> 00:29:12,50 	he turns around and sees only blank canvases adorning the walls.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS133 	00:29:44,00 --> 00:29:52,50 	stepping into a doorway, he sees someone hunched over paperwork in an office across the hall.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS186 	00:36:42,00 --> 00:36:48,50 	he sees her just before his eyes fall shut.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS196 	00:37:48,00 --> 00:37:58,50 	following someone's gaze, he sees his morning wood jetting up under the blanket.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS204 	00:39:01,00 --> 00:39:08,50 	he pauses behind a pair of pay phones then takes a few steps and sees
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS346 	01:08:22,00 --> 01:08:28,50 	he gets a text from someone, i need to see you.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS62 	00:11:53,00 --> 00:12:04,50 	someone climbs out and sees the chiseled stranger speeding away in his black suv.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS177 	00:37:06,00 --> 00:37:13,50 	now, from his mini cooper, someone sees someone's car arrive at the taj mahal casino.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS255 	00:48:53,00 --> 00:49:01,50 	she sees someone following her.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS473 	01:26:10,00 --> 01:26:20,50 	seen through another doorway, an office chair sits at a desk with a giant mural of a snarling tiger behind it.
THE_CALL.srt 	THE_CALL_DVS295 	00:25:17,00 --> 00:25:26,50 	she sees a new voice mail from raul and immediately dials 911.
THE_CALL.srt 	THE_CALL_DVS518 	00:39:43,00 --> 00:39:52,50 	turning, he sees the suited driver beside his town car and tucks the bottle into his back pocket.
THE_CALL.srt 	THE_CALL_DVS666 	00:52:00,00 --> 00:52:06,50 	she squeezes her shoulders through and sees the kidnapper with his back turned.
THE_CALL.srt 	THE_CALL_DVS755 	00:57:15,00 --> 00:57:20,50 	he sees it's been connected for an hour and 28 minutes.
THE_CALL.srt 	THE_CALL_DVS959 	01:13:40,00 --> 01:13:48,50 	someone shines her flashlight into the hole and sees a metal ladder leading down several feet.
THE_CALL.srt 	THE_CALL_DVS978 	01:15:11,00 --> 01:15:19,50 	she moves to her right and sees a white plastic lawn chair with a work light hung above it.
THE_CALL.srt 	THE_CALL_DVS1013 	01:17:33,00 --> 01:17:39,50 	leaning forward, she sees him with his ring finger in his mouth.
THE_CALL.srt 	THE_CALL_DVS1027 	01:18:22,00 --> 01:18:30,50 	someone's mouth falls open as she sees the gory scalp underneath the long blond hair in his hands.
THE_CALL.srt 	THE_CALL_DVS1100 	01:22:43,00 --> 01:23:03,50 	someone turns to see someone behind her.
THE_CALL.srt 	THE_CALL_DVS1111 	01:23:41,00 --> 01:23:48,50 	she sees a deep gash running from between his eyebrows down his right cheek.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS25 	00:05:04,00 --> 00:05:10,50 	someone sees someone hurl lawn chairs into a pool.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS270 	00:43:03,00 --> 00:43:07,50 	seen from a distance,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS464 	01:09:03,00 --> 01:09:11,50 	seen from inside, the gap shows someone darting across to take cover behind the opposite hedge.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS590 	01:27:33,00 --> 01:27:38,50 	seeing his woeful look, she lowers her gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS708 	01:39:00,00 --> 01:39:06,50 	as the door opens, someone peers over her shoulder and sees a woman entering,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS802 	01:47:47,00 --> 01:47:53,50 	seen from underwater, the leis show in silhouette against the gleaming sunlight.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS76 	00:06:59,00 --> 00:07:09,50 	she hesitates seeing the two men in the glass walled room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS169 	00:20:05,00 --> 00:20:12,50 	a maid sees harriet step outside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS338 	00:41:32,00 --> 00:41:37,50 	she sees him racing to the escalator.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS405 	00:47:41,00 --> 00:47:46,50 	later seen from behind.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS588 	01:04:57,00 --> 01:05:04,50 	now helpless, he raises his head and sees himself unfastening his pants on screen.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS865 	01:36:38,00 --> 01:36:45,50 	she sees a figure racing into the house then turns as someone enters.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1186 	02:06:34,00 --> 02:06:38,50 	someone sees him go.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1221 	02:08:54,00 --> 02:08:58,50 	he sees a spark.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1253 	02:12:03,00 --> 02:12:10,50 	in a van parked across the street, someone sees the arrival and talks into a walkie-talkie.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1417 	02:32:06,00 --> 02:32:15,50 	she sees someone and someone leaving the building and watches unnoticed as he drapes an arm over her shoulders.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS81 	00:28:37,00 --> 00:28:45,50 	someone leaves the conference room, downcast, and sees someone eagerly waiting for him at the front desk.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS98 	00:34:40,00 --> 00:34:46,50 	he looks over to see someone, dressed in a plum-colored robe,
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS122 	00:43:14,00 --> 00:43:21,50 	he sees his mother taking a look around as she approaches his table.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS178 	00:58:49,00 --> 00:58:54,50 	she sees him and whispers.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS202 	01:06:36,00 --> 01:06:41,50 	she sees someone and hurries towards him.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS235 	01:16:51,00 --> 01:16:59,50 	someone sees one executive texting on her cell phone and another absently taking a drink of water.
THE_SITTER.srt 	THE_SITTER_DVS55 	00:32:53,00 --> 00:32:58,50 	sees rodrigo peeing on the dance floor.
THE_VOW.srt 	THE_VOW_DVS38 	00:02:58,00 --> 00:03:06,50 	still seen in slow motion the brunette woman appears weightless as she drifts headfirst toward the windshield.
THE_VOW.srt 	THE_VOW_DVS51 	00:04:03,00 --> 00:04:10,50 	he sees his future wife with dark chin length hair leaving the counter ahead of him.
THE_VOW.srt 	THE_VOW_DVS74 	00:06:35,00 --> 00:06:42,50 	she lifts her gaze and sees her handsome companion standing outside in the pouring rain.
THE_VOW.srt 	THE_VOW_DVS221 	00:28:20,00 --> 00:28:27,50 	someone sees off a trendy couple, then withdraws into the apartment and shuts the door.
THE_VOW.srt 	THE_VOW_DVS286 	00:37:39,00 --> 00:37:48,50 	outside someone mnemonic, someone glances around without seeing him, then heads down a sidewalk.
THE_VOW.srt 	THE_VOW_DVS624 	01:25:52,00 --> 01:25:57,50 	she sees someone hurrying out the door.
THE_VOW.srt 	THE_VOW_DVS673 	01:34:03,00 --> 01:34:09,50 	seen in slow motion, someone hugs him, her chin pressing firmly to his shoulder.
THE_WATCH.srt 	THE_WATCH_DVS119 	00:20:08,00 --> 00:20:15,50 	it reads, if you see something, say something.
THE_WATCH.srt 	THE_WATCH_DVS120 	00:20:13,00 --> 00:20:18,50 	coming home, he sees someone crouched by his front window.
THE_WATCH.srt 	THE_WATCH_DVS128 	00:21:26,00 --> 00:21:30,50 	she sees stacks of flyers.
THE_WATCH.srt 	THE_WATCH_DVS183 	00:33:03,00 --> 00:33:08,50 	he sees something racing along the rooftops.
THE_WATCH.srt 	THE_WATCH_DVS362 	01:03:33,00 --> 01:03:38,50 	they see shadowy movement in glowing red light.
THE_WATCH.srt 	THE_WATCH_DVS375 	01:06:18,00 --> 01:06:23,50 	he sees a variety of sex toys.
THE_WATCH.srt 	THE_WATCH_DVS415 	01:14:43,00 --> 01:14:49,50 	in someone's basement, someone turns to see someone and someone following someone inside.
THE_WATCH.srt 	THE_WATCH_DVS451 	01:21:41,00 --> 01:21:47,50 	someone sees something, too, and he and someone duck.
THE_WATCH.srt 	THE_WATCH_DVS533 	01:32:31,00 --> 01:32:37,50 	someone sees a wall of smoke and someone envelop the guys.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS222 	00:55:11,00 --> 00:55:22,50 	someone sees him.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS248 	01:01:47,00 --> 01:01:51,50 	they see someone.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS381 	01:29:54,00 --> 01:29:59,50 	his smile fades as he sees the book in her hand.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS399 	01:34:28,00 --> 01:34:36,50 	he sees his posters and action figures sitting on the couch and coffee table along with a copy of someone harvey's book.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS420 	01:36:43,00 --> 01:36:51,50 	following the bartender's gaze, someone sees a woman at the end of the bar.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS467 	01:46:13,00 --> 01:46:18,50 	sonia sees someone taking the stage.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS59 	00:08:12,00 --> 00:08:19,50 	lifting her face from the towel, someone sees someone and someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS322 	00:58:42,00 --> 00:58:49,50 	looking out the window, he sees someone on the next roof.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS421 	01:15:41,00 --> 01:15:45,50 	they see a car parked behind the truck.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS433 	01:17:51,00 --> 01:17:56,50 	she sees food on her gum line.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS472 	01:23:26,00 --> 01:23:46,50 	seeing the road's end, someone breaks.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS303 	00:36:26,00 --> 00:36:34,50 	with a someone, he peeks around the corner into the hallway and sees the tabby closing in.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS373 	00:40:51,00 --> 00:40:56,50 	they see only water swirling down the flushed toilet.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS491 	00:53:39,00 --> 00:53:44,50 	he turns see through but doesn't disappear.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS492 	00:53:41,00 --> 00:53:47,50 	a woman sees his ghostly form on her way out.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS502 	00:54:46,00 --> 00:54:50,50 	the others can't see someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS674 	01:15:25,00 --> 01:15:33,50 	as he sits back, he sees two opposing players skate past with smug stares.
TRUE_GRIT.srt 	TRUE_GRIT_DVS365 	01:15:49,00 --> 01:15:53,50 	she goes to see someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS391 	01:19:03,00 --> 01:19:10,50 	she looks up to see three or four horses drinking from the water on the opposite side.
TRUE_GRIT.srt 	TRUE_GRIT_DVS448 	01:28:45,00 --> 01:28:53,50 	someone looks up to see someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS549 	01:38:13,00 --> 01:38:18,50 	she sees a silhouetted horseman up ahead.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS495 	01:03:26,00 --> 01:03:33,50 	later in his office, someone sees someone wave as she passes his window.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS635 	01:28:03,00 --> 01:28:10,50 	he sees the cameraman far below.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS48 	00:08:41,00 --> 00:08:48,50 	entering the office, the principal furrows his brow as he sees someone fiddling with his window.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS54 	00:10:18,00 --> 00:10:29,50 	turning thoughtfully to his son, someone sees him leaning against the bank of lockers with his arms crossed.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS170 	00:29:29,00 --> 00:29:43,50 	as they reach the low wall of a tiger 	enclosure, someone halts upon seeing the big cats and holds them in his attentive gaze.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS454 	01:10:53,00 --> 01:11:04,50 	seeing no one, he gives a disappointed look.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS590 	01:30:11,00 --> 01:30:19,50 	seeing someone throw an arm around his son's shoulder, she takes a deep warm-hearted breath.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS785 	01:51:32,00 --> 01:51:41,50 	gazing down the road, someone sees long lines of people surging forward around the parked cars.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS825 	01:55:35,00 --> 01:55:50,50 	we see animals in their respective enclosures.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS838 	01:58:00,00 --> 01:58:04,50 	he sees someone seating at the table.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS842 	01:58:16,00 --> 01:58:24,50 	someone gestures at someone, and someone's eyes fill with tears as he sees her sitting there.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS582 	01:20:03,00 --> 01:20:10,50 	now from outside her apartment, we see her meandering to the window in a plaid shirt.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS594 	01:20:35,00 --> 01:20:39,50 	seeing her, he halts.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS739 	01:37:45,00 --> 01:37:49,50 	someone sees her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS562 	00:53:10,00 --> 00:53:16,50 	through the window into the rec room, they see someone dancing on a couch.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS576 	00:54:22,00 --> 00:54:29,50 	craning his neck, someone looks down at the road and sees soldiers guarding a roadblock up ahead.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS656 	01:00:08,00 --> 01:00:14,50 	in her mind, he sees the united states on a world map.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS700 	01:03:13,00 --> 01:03:22,50 	the young mutants see a cyclone pass by the transmitter.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS714 	01:04:19,00 --> 01:04:25,50 	racing into a small lunch room, they see the cyclone through a window.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS722 	01:04:52,00 --> 01:04:58,50 	the recruits turn to see someone coming in from the other side.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS848 	01:17:35,00 --> 01:17:40,50 	passing a window, he sees someone inside.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS886 	01:20:51,00 --> 01:20:57,50 	in his mind's eye, someone sees a young someone lighting candle
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1295 	01:56:54,00 --> 01:57:03,50 	as the telepath collapses, a stunned someone lowers her pistol and someone sadly sees his friend fall.
ZOMBIELAND.srt 	ZOMBIELAND_DVS227 	00:24:56,00 --> 00:25:00,50 	he sees a bite on her arm.
ZOMBIELAND.srt 	ZOMBIELAND_DVS480 	00:57:02,00 --> 00:57:06,50 	then we see him in a sunny kitchen.
ZOOKEEPER.srt 	ZOOKEEPER_DVS35 	00:05:24,00 --> 00:05:31,50 	she sees someone standing at a dry erase board labeled things to do.
ZOOKEEPER.srt 	ZOOKEEPER_DVS236 	00:54:03,00 --> 00:54:08,50 	someone sees an eyeball drawn on frankie's eye patch.
ZOOKEEPER.srt 	ZOOKEEPER_DVS283 	01:01:23,00 --> 01:01:27,50 	as they move apart, we see someone watching.
