21_JUMP_STREET.srt 	21_JUMP_STREET_DVS534 	01:22:48,00 --> 01:22:52,50 	he removes the weapon.
THE_CALL.srt 	THE_CALL_DVS922 	01:10:47,00 --> 01:10:54,50 	someone removes a framed picture of someone's beautiful blond sister.
THE_CALL.srt 	THE_CALL_DVS1083 	01:21:24,00 --> 01:21:30,50 	he removes the sheath from a scalpel.
THE_CALL.srt 	THE_CALL_DVS1097 	01:22:12,00 --> 01:22:18,50 	she removes her mask and shower cap and holds her face.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS162 	00:18:13,00 --> 00:18:19,50 	someone removes a school photo from an album.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS332 	00:40:58,00 --> 00:41:05,50 	a caretaker removes a tray from the table in front of the blank faced man.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS444 	00:52:35,00 --> 00:52:39,50 	she removes her jacket.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS576 	01:03:55,00 --> 01:04:02,50 	removing a strip of negatives he sets them back in the binder and lays both aside.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS626 	01:08:46,00 --> 01:08:50,50 	watching the slideshow someone slowly removes his glasses.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS752 	01:24:55,00 --> 01:25:00,50 	someone climbs off her bike and removes her helmet.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS852 	01:35:59,00 --> 01:36:07,50 	meanwhile, at the cottage, someone removes surveillance cameras from the equipment case.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1017 	01:49:49,00 --> 01:49:55,50 	in the cottage someone removes his reading glasses and shifts his thoughtful gaze.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1216 	02:08:36,00 --> 02:08:43,50 	approaching the vehicle someone removes the gun from her waistband and holds it at her side.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1356 	02:25:32,00 --> 02:25:37,50 	someone removes the padded inserts from her bra.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1379 	02:27:57,00 --> 02:28:02,50 	she removes her earrings and lets them drop down a sink's drain.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1415 	02:31:56,00 --> 02:32:01,50 	dismounting, she removes her helmet.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS42 	00:10:13,00 --> 00:10:23,50 	after watching for a moment, someone switches off the tv and removes a packet of m&ms from his mother's bed before leaving the room.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS177 	00:58:46,00 --> 00:58:52,50 	someone winces as she pauses to remove her jacket.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS31 	00:08:48,00 --> 00:08:57,50 	he removes the keyboard from a drawer and sets it on the desk, then sips his beer.
THE_VOW.srt 	THE_VOW_DVS469 	01:07:15,00 --> 01:07:20,50 	he removes his shirt.
THE_WATCH.srt 	THE_WATCH_DVS324 	00:56:31,00 --> 00:56:40,50 	someone slowly removes his sunglasses and gives someone a bizarre wide-eyed stare while slowly shaking his head.
THE_WATCH.srt 	THE_WATCH_DVS508 	01:30:01,00 --> 01:30:07,50 	someone removes the orb from the tower, then looks around.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS70 	00:12:07,00 --> 00:12:14,50 	he removes his sunglasses and stares.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS354 	01:04:16,00 --> 01:04:33,50 	kissing hungrily as they remove their coats.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS395 	01:11:21,00 --> 01:11:30,50 	as someone lifts someone up onto a console table, he discreetly removes the bug from the lamp and throws it on the floor.
THOR.srt 	THOR_DVS277 	00:37:07,00 --> 00:37:11,50 	someone removes a name tag from the shirt.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS718 	01:19:29,00 --> 01:19:36,50 	someone drops his stick, shakes off his gloves, and removes his helmet.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS742 	01:21:38,00 --> 01:21:43,50 	he removes a tiny envelope sealed with a smiley face sticker.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS779 	01:23:36,00 --> 01:23:41,50 	rolling over, someone scowls and removes his ear buds.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS562 	01:14:38,00 --> 01:14:46,50 	she gazes around the room, then removes her shoes and casually tosses them aside.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS571 	01:15:57,00 --> 01:16:06,50 	as someone rushes away, someone stands and removes his shirt, exposing his well-toned chest.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS611 	01:21:17,00 --> 01:21:24,50 	someone removes a hair extension to reveal her shorter natural length.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS246 	00:40:14,00 --> 00:40:21,50 	someone removes the seal decorated with magic marker then unwraps the sandwich.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS487 	01:15:34,00 --> 01:15:39,50 	he removes his glasses and pulls the laptop shut.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS634 	01:33:51,00 --> 01:33:56,50 	he removes his reading glasses,
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS696 	01:41:15,00 --> 01:41:25,50 	in the lion enclosure, someone shakily removes the gate's knob-shaped handle.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS66 	00:05:39,00 --> 00:05:43,50 	someone starts to remove her coat.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS479 	01:07:19,00 --> 01:07:24,50 	she removes her hand from his unshaven face,
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS591 	01:20:25,00 --> 01:20:30,50 	removes the pick from the fret board, and plays.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS528 	00:48:28,00 --> 00:48:35,50 	inside someone's sub, someone removes her eyes from the viewfinder and turns to someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS725 	01:05:20,00 --> 01:05:25,50 	he removes the anti-telepathy helmet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS773 	01:09:19,00 --> 01:09:23,50 	he steps in close to someone and removes the marker.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS930 	01:25:48,00 --> 01:25:57,50 	lowering her gaze to the case, she removes its remaining injection, and stares at the lime-green serum in the syringe's barrel.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS947 	01:27:56,00 --> 01:28:02,50 	he removes the syringe and sits up, keeping his eyes fixed on his foot.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1184 	01:45:45,00 --> 01:45:50,50 	he removes the burning disc, then looks up.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS34 	00:03:41,00 --> 00:03:47,50 	the woman opens her printer and removes a toner cartridge.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS128 	00:23:23,00 --> 00:23:29,50 	a pedicurist removes the nail polish from her toes.
ZOMBIELAND.srt 	ZOMBIELAND_DVS102 	00:08:39,00 --> 00:08:45,50 	the newcomer removes his shades under the brim of his canvas tarp hat
